row_index,text,entity,role,ID
0,perpanjangan kontrak freeport hingga memperkuat posisi korporasi namun kasus phk buruh yang belum diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,freeport,ORG,1
0,perpanjangan kontrak freeport hingga memperkuat posisi korporasi namun kasus phk buruh yang belum diselesaikan menjadikannya warisan konflik amplifier pelanggaran ham negara dikritik buruh diabaikanburuhfreeport phk2017 solidaritas suarapekerja rizalramli,rizalramli,PER,1
3,bagaimana bisa istana salah data penerima penghargaan negara gombloh kok disebut pencipta lagu bengawan solo ralat gombloh kebyar kebyar,gombloh kok,PER,4
5,prabowo di persimpangan pemimpin atau perpanjangan tangan reformasidikorupsi antikorupsi,prabowo,PER,6
6,september kendari sulawesi tenggara demo reformasidikorupsi tapi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber antara sebuah jakarta hang out,immawan randi amplifier,PER,7
6,september kendari sulawesi tenggara demo reformasidikorupsi tapi mahasiswa meninggal immawan randi amplifier yusuf kardawi akibat peluru tajamluka kepala polisi diperiksa sumber antara sebuah jakarta hang out,yusuf kardawi,PER,7
7,mantap bosque merinding melihatnya reformasidikorupsi,bosque merind,PER,8
18,memang punya otak sama hati nurani mereka dul kan kalau punya my bikin kesalahan sekali juga langsung tanggung jawab dan suka rela mundur ini dari reformasidikorupsi sampai saat ini masih adem ayem baby itu orang you,dul,PER,19
19,tahun ikut demo reformasidikorupsi tanpa izin ke orang tua berangkat dari kampus bersama lely dan hilda sekarang ibuku sudah ngancam duluan biar tidak diam diam ikutan demo seperti dulu dulu tapi sejujurnya hati kecilku ingin ikutan merasa guilty if just simpan quiet dan di nothing,lely,PER,20
19,tahun ikut demo reformasidikorupsi tanpa izin ke orang tua berangkat dari kampus bersama lely dan hilda sekarang ibuku sudah ngancam duluan biar tidak diam diam ikutan demo seperti dulu dulu tapi sejujurnya hati kecilku ingin ikutan merasa guilty if just simpan quiet dan di nothing,hilda,PER,20
28,di temenku yang jadi wercok pas demo reformasidikorupsi juga ngetweet buat narasi yang sama nanti giliran ada apaapa meminta tolong ke kita very so padahal dia lumayan cerdas hey you sayang juara kelas ternyata masuk wercok bisa ngubah isi otaknya,very so,PER,29
29,pasca reformasi gelombang demonstrasi selalu senantiasa berujung klise sejak reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena sampai kemarin yang terakhir indonesiagelap berakhir anyone but manchester united anyone but manchester united semua kebijakan yang kontroversial hasilnya tetap disahkan,manchester united,ORG,30
29,pasca reformasi gelombang demonstrasi selalu senantiasa berujung klise sejak reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena sampai kemarin yang terakhir indonesiagelap berakhir anyone but manchester united anyone but manchester united semua kebijakan yang kontroversial hasilnya tetap disahkan,manchester united,ORG,30
31,jadi ingat luthfi anak short term memory yang fotonya viral pegang bendera di aksi reformasidikorupsi yang ditahan karena melawan polisi saat demo tolong dan kakak menjaga ibuknya dan pantau ibunya terus you selalu ditemenin kemanamana huhu khawatir,luthfi,PER,32
38,ferry irwandi diteror akibat buka jaringan provokator demo dan gagalkan darurat militer provokator copotkapolrilistyosigit reformasipolri dprbebannegara,ferry irwandi,PER,39
39,kompol kosmas dipecat lindas ojol saat demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri dalam penegakan etik evaluasi prosedur pengamanan aksi perlu dilakukan reformasipolri,kompol kosmas,PER,40
39,kompol kosmas dipecat lindas ojol saat demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri dalam penegakan etik evaluasi prosedur pengamanan aksi perlu dilakukan reformasipolri,lindas ojol,PER,40
39,kompol kosmas dipecat lindas ojol saat demo ricuh pemecatan buntut tewasnya pengemudi ojol mencerminkan ketegasan polri dalam penegakan etik evaluasi prosedur pengamanan aksi perlu dilakukan reformasipolri,ojol,PER,40
40,iko juliant dibunuh polisi acab resetindonesia reformasipolri,iko juliant,PER,41
41,yasudah biar kompak resetindonesia perampasanaset reformasipolri terus kalau dukung reset ind man ogi ganti profil pinky dong seperti aku,yasudah,PER,42
41,yasudah biar kompak resetindonesia perampasanaset reformasipolri terus kalau dukung reset ind man ogi ganti profil pinky dong seperti aku,pinky,PER,42
43,segera reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,kapolri,PER,44
43,segera reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,listyosigitprabowo,PER,44
43,segera reformasi kepolisian republik indonesia reformasipolri polri kepolisian polisi kapolri listyosigitprabowo perspektif radhartribaskoro,radhartribaskoro,PER,44
51,maripahami impunitas melanggengkan penyiksaan dan kekerasan polisi impunitas dan tidak adanya upaya reformasi polri berbasis ham melanggengkan praktik penyiksaan kekerasan serta penggunaan kekuatan berlebih oleh kepolisian reformasipolri,maripahami,PER,52
55,kaum perusuh pembakar amplifier penjarah itu memang digerakan tiba tiba datang lemparkan bro molotov yang sudah disiapkan lalu kabur hilang mereka bukan mahswa bukan buruh bukan pendemo reformasipolri reformasipolisi adilijokowiamannegeri,adilijokowiamannegeri,PER,56
56,kenapa harus reformasipolri terlalu banyak alasan mendasar yang kecil kecil seperti ini banyak sekali jenisnya gelapkan motor orang lain hanya dihukum pakai helm merah bukankah ini sudah pidana apalagi aparat 2x lebih berat seperti hukuman pramuka telat baris saja payaah,payaah,PER,57
58,harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,mbah wo affan,PER,59
58,harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,rheza,PER,59
58,harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,andika,PER,59
58,harus berapa nyawa lagi yang harus berkorban demi kekhilafan aparatmu mbah wo affan sudah dilindas rheza sudah dipukul andika sudah ditendang kini iko menyusul selamat jalan teman reformasipolri,iko,PER,59
59,afan kurniawan adalah simbol rakyat kecil yang tertindas oleh sistem jika pemerintah abai krisis bisa berubah jadi kerusuhan besar saksikan analisis lengkap di video kami reformasipolri suararakyat anakbangsa,afan kurniawan,PER,60
