topic_id,top_words,npmi
0,"resetindonesia, polisipembunuh, indonesiaberbenah, dprbebannegara, kita, semoga, indonesia, indonesiagelap, kakak, lot",0.4139
1,"polisi, sama, saja, lapor, ada, kalau, seperti, apa, jadi, maling",0.4139
2,"wargajagawarga, ngeronda, siskamling, duta, bapakbapak, biar, ajang, sambil, malingnya, pamer",0.4139
3,"amplifier, rakyat, dpr, tunjangan, sumber, untuk, bukan, dari, atas, rumah",0.4139
4,"bubarkandpr, bubarkandprri, dpr, bubarkan, bubar, dprbubar, bubarkandprsontoloyo, rakyat, benaran, bubarkanpolri",0.4139
5,"nepal, pm, protes, polisi, kathmandu, information, bentrokan, larangan, antikorupsi, oli",0.4139
6,"reformasipolri, reformasi, reformasidikorupsi, reformasidpr, polri, copotkapolri, rakyat, aparat, sudah, reformasipolisi",0.4139
7,"stopbayarpajak, ananta, toer, pramoedya, bubarkandpr, manusia, orang, dia, hidup, sendiri",0.4139
8,"indonesiagelap, indonesia, indonesiareset, jakarta, bubarkandprri, bubarkandpr, rakyatbisa, indonesiabisa, dpr, papua",0.4139
9,"juga, lulusan, minimal, s1, kalau, sama, orang, polisi, tapi, banyak",0.4139
10,"polrimusuhbersama, indonesiagelap, polisipembunuh, polisipembunuhrakyat, bubarkandpr, acab, acabforever, indonesiachaos, indonesia, indonesiagelap2025",0.4139
11,"demo, gedung, demoojol, dpr, demokrasitanpaanarki, massa, ri, aksi, ricuh, demodpr",0.4139
12,"presiden, jadi, bapak, myday, saja, gibran, kepleset, kutuk, dia, mau",0.4139
13,"video, viral, tiktok, cikarang, youtube, cek, ri, selengkapnya, dpr, demo",0.4139
14,"kalian, aspirasi, rakyat, dpr, revolusiataumatitertindas, sahroni, multi, tuntutan, rakyatindonesiamurka, ahmad",0.4139
15,"indonesia, presiden, prabowo, republik, dengan, jokowi, sukses, gratis, mbak, indonesiasehat",0.4139
16,"presiden, jadi, koar, prabowo, menteri, kalau, windah, aseng, pernah, yakin",0.4139
17,"ferry, irwandi, tni, pencemaran, laporkan, nama, sebut, siber, soal, institusi",0.4139
18,"presiden, menteri, orang, hutang, negara, harusnya, rakyatnya, masih, lain, presidennya",0.4139
19,"something, someone, or, good, tinggal, teman, turun, semuanya, rakyattagihjanji, semua",0.4139
20,"ibuprofen, pertiwi, turun, bapak, pink, anak, duduk, imut, bubarkandpr, sedang",0.4139
21,"pengecut, pelajar, penganiayaan, prancis, pengalihan, kerusuhan, dprd, penguasa, tni, penggerebekan",0.4139
22,"chaos, brimob, polda, propam, jakarta, bubarkandpr, najis, prabowo, surabaya, tertabrak",0.4139
23,"nya, kwa, you, pizza, hii, watu, aku, mahakamani, mahakama, nchi",0.4139
24,"polisi, baik, sarung, woman, sih, bapak, skck, tidur, ada, inilah",0.4139
25,"polisipembunuhrakyat, polisipembunuh, scosummit2025, bubarkandpr, padat, singkat, lintah, perlawanan, sampah, lebar",0.4139
26,"motor, maling, cikarang, hilang, seharga, ditahan, laporan, barang, suruh, biaya",0.4139
27,"indonesia, polisi, pangan, chalid, riza, akpol, seram, pasti, malu, itulah",0.4139
28,"kisses, hugs, and, pendapat, prerogatif, dalam, adalah, kepastian, merampas, mengenai",0.4139
29,"pangkat, naik, terluka, panggil, panglima, pangkatnya, munaf, pangdam, kenaikan, sherina",0.4139
30,"bodoh, sahroni, nasdem, anjing, mengatai, memang, ahmad, otak, koar, jelek",0.4139
31,"viral, virus, word, by, mouth, email, an, bekasi, etc, that",0.4139
32,"prabowo, presiden, sppi, saraswati, ruuperampasanaset, purbaya, rahayu, progres, ruu, laporkan",0.4139
33,"laugh, tawa, singapore, rada, funny, soalnya, ikut, tapi, wkwkwkwk, tahu",0.4139
34,"application, programming, interface, kereta, lautan, teriak, senjata, resiko, padam, kami",0.4139
35,"media, sosial, playslots88, channel, tv, menyerukan, news, melalui, viral, pembubaran",0.4139
36,"pengeluaran, pemenang, result, hasil, selamat, kepada, hari, resetindonesia, sydney, lotto",0.4139
37,"interface, user, bem, rakyattagihjanji, universitas, mahasiswa, aksi, dprmpr, ri, wib",0.4139
38,"exclamation, jeshi, kwa, nya, pizza, vya, habari, aku, kila, you",0.4139
39,"working, home, from, cyber, at, local, pengecut, apotek, kalian, malah",0.4139
40,"music, popular, demokrasi, korean, lagu, genre, and, affankurniawan, justru, berulang",0.4139
41,"flatulence, blanked, mata, unisba, ndek, dipukul, kena, massa, aksimahasiswa, polisipembunuh",0.4139
42,"lawan, 1312acab, dprbebannegara, polisipembunuhrakyat, polisipembunuh, sanksi, akses, reses, menuntut, bubarkandpr",0.4139
43,"piala, liga, kompetisi, putaran, presiden, grup, pramusim, nasional, crossed, fingers",0.4139
44,"data, datang, searching, aid, label, twitter, to, memulai, phantasy, tour",0.4139
45,"patroli, polsek, subang, kamtibmas, gangguan, jabar, ketahananpangan, antisipasi, rutin, wilayah",0.4139
46,"arrival, dead, on, kapolri, maulid, drs, nabi, peringatan, listyo, muhammad",0.4139
47,"jakarta, gedung, depan, demo, ri, pusat, dpr, massa, kamis, dprmpr",0.4139
48,"telah, dompet, telpon, ananta, pramoedya, toer, dpr, telfon, menangkap, kiss",0.4139
49,"administrator, etc, forum, network, on, beliau, sehat, s1, jadi, kantoran",0.4139
50,"anjing, dimana, polisi, memang, seperti, bungkul, dongeng, dilakuin, skripsian, rion",0.4139
51,"judol, backing, introvert, batman, iron, black, panik, formula, jatah, one",0.4139
