topic_id,top_words,npmi
0,"presiden, prabowo, menteri, jokowi, wapres, subianto, mantan, wakil, menkeu, indonesia",0.4606
1,"resetindonesia, indonesiaberbenah, polisipembunuh, dprbebannegara, semoga, lot, indonesia, indonesiagelap, 1312acab, kakak",0.4606
2,"indonesiagelap, polrimusuhbersama, indonesia, polisipembunuh, sir, bubarkandpr, indonesiareset, indonesiabisa, rakyatbisa, indonesiacemas",0.4606
3,"wargajagawarga, ngeronda, siskamling, bapakbapak, duta, biar, ajang, suami, begadang, malingnya",0.4606
4,"amplifier, tunjangan, rakyat, sumber, dpr, rumah, reformasipolri, resetindonesia, korban, resmi",0.4606
5,"demo, jakarta, gedung, dpr, ri, aksi, massa, demoojol, mahasiswa, dprri",0.4606
6,"nepal, pm, protes, kathmandu, bentrokan, information, larangan, oli, antikorupsi, media",0.4606
7,"bubarkandpr, bubarkandprri, bubar, dpr, bubarkandprsontoloyo, dprbubar, lupa, benaran, bubarkanpolri, idiot",0.4606
8,"stopbayarpajak, pramoedya, toer, ananta, manusia, orang, bubarkandpr, takkan, hidup, tua",0.4606
9,"reformasipolri, reformasi, reformasidikorupsi, reformasidpr, polri, copotkapolri, reformasipolisi, aparat, rakyat, reformasiparlemen",0.4606
10,"rakyat, dpr, tuntutan, perampasan, aset, wakil, unhas, aspirasi, dewan, perwakilan",0.4606
11,"someone, something, or, good, tinggal, teman, jebakan, turun, hatihati, waspada",0.4606
12,"video, viral, cikarang, tiktok, cek, beredar, pashaungu, selengkapnya, utara, lihat",0.4606
13,"chaos, brimob, kaburajadulu, gfawakeconcertd1, eko, uya, propam, patrio, polda, kuya",0.4606
14,"kisses, hugs, and, watching, are, kiss, prerogatif, dewan, anggota, pendapat",0.4606
15,"polisipembunuhrakyat, polisipembunuh, bubarkandpr, polisimusuhbersama, biang, sebarkan, perlawanan, bangkai, lebar, wo",0.4606
16,"kelakuannya, polisinya, masuknya, jual, tentara, sawah, malingnya, sistem, lobi, ngejar",0.4606
17,"abal, ngelindes, edan, temannya, warga, gebukin, gendut, brother, demonstran, nangkep",0.4606
18,"ibuprofen, pertiwi, anak, pink, painkillers, turun, hati, imut, duduk, abai",0.4606
