conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
1.97E+18,9/9/2025 2:49,7,Perpanjangan kontrak Freeport hingga 2041 2061 memperkuat posisi korporasi. Namun kasus PHK buruh 2017 yang belum diselesaikan menjadikannya warisan konflik &amp; pelanggaran HAM. Negara dikritik buruh diabaikan.#BuruhFreeport #PHK2017 #Solidaritas #SuaraPekerja #RizalRamli https://t.co/7DZ5jnIM1j,1.97E+18,https://pbs.twimg.com/media/G0XzTAsboAAhZTo.png,,in,0,0,7,https://x.com/undefined/status/1965246063906095464,749614904,Solidaritas_Buruh,1
1.96E+18,8/9/2025 7:12,0,mantap bgt pak Kapolri ucapin terima kasih buat komunitas ojol dan buruh. Kolaborasi kayak gini yg bikin negara makin solid! #Solidaritas #IndonesiaBangkit https://t.co/pygZfcwkou,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1964949947431972876,2709905130,Solidaritas_Buruh,2
1.96E+18,6/9/2025 15:20,0,Dialog Hangat Mahasiswa dan Pemerintah di Istana Negara Aspirasi Disampaikan Langsung https://t.co/jLX4iQHy2a #istana #Mahasiswa,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1964347920326557918,1355799450,Istana_Negara,3
1.96E+18,26/08/2025 08:46,0,Bagaimana bisa #Istana salah data penerima penghargaan negara? #Gombloh kok disebut pencipta lagu Bengawan Solo. | #ralat #gombloh #kebyar2 | https://t.co/2b5p4gB3TF,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1960262491713462415,105761619,Istana_Negara,4
1.96E+18,1/9/2025 12:16,0, Jangan samakan kami dengan rakyat jelata Wow kalimatnya luar biasa. Harusnya pejabat ini bkan hanya mengundurkan diri bukan? Faktanya sampai detik ini dia masih menikmati gaji dan fasilitas negeri sbgai karyawan rakyat #REFORMASIDIKORUPSI #reformasidpr,1.96E+18,,aeth_ya,in,0,0,0,https://x.com/undefined/status/1962489697290326019,1.43E+18,ReformasiDikorupsi,5
1.96E+18,1/9/2025 12:00,0,Prabowo di Persimpangan Pemimpin atau Perpanjangan Tangan? #reformasidikorupsi #antikorupsi https://t.co/st21ZcHSpy https://t.co/qhU1tIel1z,1.96E+18,https://pbs.twimg.com/media/GzwmaS0bUAAbp85.jpg,,in,0,0,0,https://x.com/undefined/status/1962485774898872510,1.87E+18,ReformasiDikorupsi,6
1.96E+18,1/9/2025 7:13,1,#4 | 26 September 2019 Kendari Sulawesi Tenggara Demo #ReformasiDikorupsi. 2 mahasiswa meninggal (Immawan Randi &amp; Yusuf Kardawi) akibat peluru tajam/luka kepala. Polisi diperiksa. Sumber Antara / The Jakarta Post.,1.96E+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962413517967098160,1.76E+18,ReformasiDikorupsi,7
1.96E+18,1/9/2025 4:15,0,@RadioElshinta Mantap bosque Merinding melihatnya #REFORMASIDIKORUPSI,1.96E+18,,RadioElshinta,in,0,0,0,https://x.com/undefined/status/1962368719939928342,1.59E+18,ReformasiDikorupsi,8
1.96E+18,1/9/2025 3:43,0,Lagu Buat Polisi Jaksa dan Hakim di Indonesia. #REFORMASIDIKORUPSI https://t.co/f9rpRsk8Sx,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1962360560873587003,1.52E+18,ReformasiDikorupsi,9
1.96E+18,1/9/2025 3:29,0,🇮🇩 72 JAM UNTUK MENYELAMATKAN NKRI Itu judul besar yang seharusnya dipegang semua pejabat hari ini. Dan publik berhak memantau menit demi menit. @prabowo @puanmaharani_ri @bang_dasco @AgusYudhoyono @aniesbaswedan @mohmahfudmd #ReformasiDikorupsi,1.96E+18,,SandiMataram,in,0,0,0,https://x.com/undefined/status/1962357195942805756,1.76E+18,ReformasiDikorupsi,10
1.96E+18,1/9/2025 3:29,0,🇮🇩 1998 berulang? Jawabannya ada di 72 jam ke depan. Dan publik berhak tahu: apa langkah konkret Presiden hari ini juga. #ReformasiDikorupsi #KrisisLegitimasi,1.96E+18,,SandiMataram,in,0,1,0,https://x.com/undefined/status/1962357185528373470,1.76E+18,ReformasiDikorupsi,11
1.96E+18,31/08/2025 15:37,0,Polisi boleh gagah dengan seragam dan senjata tapi sejarah selalu nyatet jika mahasiswa berdiri tanpa apa-apa dan itu yang bikin rezim jatuh. Kalian takut sama apa? Sama kebenaran?? #ReformasiDikorupsi #NegaraHukumKatanya,1.96E+18,,naa_aaii13,in,0,0,0,https://x.com/undefined/status/1962177825999601866,1.63E+18,ReformasiDikorupsi,12
1.96E+18,31/08/2025 14:04,0,@tanyakanrl Nothing u can do. Orang tua kita sudah terbrainwashed oleh Orba sedari kecil. Propaganda mereka mengakar dan menjalar bertahan hingga sekarang di kepala Baby Boomers &amp; Gen X. Bersyukur lah lahir di Era Reformasi. Walaupun sekarang #Reformasidikorupsi Panjang Umur Perjuangan!!,1.96E+18,,tanyakanrl,in,0,0,0,https://x.com/undefined/status/1962154553744503199,1530005004,ReformasiDikorupsi,13
1.96E+18,31/08/2025 09:11,0,@FoxtailBrain biar ada tagline aja wkwk dulu indonesia gelap indonesia darurat reformasidikorupsi,1.96E+18,,FoxtailBrain,in,0,0,0,https://x.com/undefined/status/1962080859957371221,1.14E+18,ReformasiDikorupsi,14
1.96E+18,31/08/2025 02:09,0,Dulu #REFORMASIDIKORUPSI kasusnya perselisihan hasil Pemilu atau Omnibus Law ya ?,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1961974588008804704,1.77E+18,ReformasiDikorupsi,15
